"ecoSpeciesID"	"ecoSpecies"	"ecoSpeciesTranslated"	"ecoSpeciesReference"	"ecoSpeciesReferencePage"	"ecoSpeciesReferenceID"	"ecoSpeciesAuthorID"	"ecoSpeciesDate"	"ecoSpeciesBiotype"	"ecoSpeciesAuthor"
20200420092845	"Moist evergreen forest (EN)"	"Forêt humide sempervirente (FR)"	"Golder (2013)"			"Golder"	2012-12-31T21:00:00Z	"Golder-20130101-1917-1"	"Golder"
20200420093826	"Forêt dense tropicale humide sempervirente guinéenne de Guinée Forestière de basse altitude (<500m) (FR)"		"Aussel (2018)"	"31111"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-2033-31111"	"Aussel, Alexia"
20200418143610	"Forêt ouest africaine mésique de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"West African mesic forest of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"35"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191016-0828-84"	"Senterre, Bruno"
20200420091605	"Forêt ombrophile de l'étage inférieur à Tarrietia utilis et Lophira procera (FR)"		"Schnell (1952)"	"365"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-0354-365"	"Schnell, Raymond"
20200503122437	"Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"West African Ravine forest of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"36"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191015-1225-82"	"Senterre, Bruno"
20200503123357	"Variante vallicole du groupement à Tarrietia utilis et Lophira procera (FR)"		"Schnell (1952)"	"366"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-2217-366"	"Schnell, Raymond"
20200505071317	"Groupement à Lophira et Chidlovia sanguinea (FR)"		"Schnell (1952)"	"369"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-1113-369"	"Schnell, Raymond"
20200505073922	"Gallery forest (EN)"		"Astron (2019)"	"5"		"Astron"	2018-12-31T21:00:00Z	"Astron-20190101-0259-5"	"Astron"
20200505074404	"Forêt ouest africaine marécageuse de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"West African Swamp forest of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"37"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191011-1125-78"	"Senterre, Bruno"
20200505074653	"Forêts marécageuses à Uapaca paludosa et Mitragyna ciliata (FR)"		"Schnell (1952)"	"363"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-1020-363"	"Schnell, Raymond"
